('Ankara', 'LOC', 'MISC')
('sq', 'MISC', 'QUANTITY')
('m', 'MISC', 'QUANTITY')
('1', 'MISC', 'QUANTITY')
('469', 'MISC', 'QUANTITY')
('sq', 'MISC', 'QUANTITY')
('m', 'MISC', 'QUANTITY')
('296', 'CODE', 'QUANTITY')
('4', 'MISC', 'QUANTITY')
('877', 'MISC', 'QUANTITY')
('sq', 'MISC', 'QUANTITY')
('m', 'MISC', 'QUANTITY')
('22', 'CODE', 'QUANTITY')
('7', 'MISC', 'QUANTITY')
('032', 'MISC', 'QUANTITY')
('sq', 'MISC', 'QUANTITY')
('m', 'MISC', 'QUANTITY')
('42', 'CODE', 'QUANTITY')
('2', 'CODE', 'QUANTITY')
('2', 'CODE', 'QUANTITY')
('2', 'CODE', 'QUANTITY')
('1', 'MISC', 'QUANTITY')
('018', 'MISC', 'QUANTITY')
('sq', 'MISC', 'QUANTITY')
('m', 'MISC', 'QUANTITY')
('104', 'CODE', 'QUANTITY')
('37', 'MISC', 'QUANTITY')
('sq', 'MISC', 'QUANTITY')
('m', 'MISC', 'QUANTITY')
('1', 'CODE', 'QUANTITY')
('2', 'MISC', 'QUANTITY')
('358', 'MISC', 'QUANTITY')
('sq', 'MISC', 'QUANTITY')
('m', 'MISC', 'QUANTITY')
('84', 'MISC', 'QUANTITY')
('sq', 'MISC', 'QUANTITY')
('m', 'MISC', 'QUANTITY')
('152', 'MISC', 'QUANTITY')
('25', 'MISC', 'QUANTITY')
('sq', 'MISC', 'QUANTITY')
('m', 'MISC', 'QUANTITY')
('152', 'MISC', 'QUANTITY')
('25', 'MISC', 'QUANTITY')
('sq', 'MISC', 'QUANTITY')
('m', 'MISC', 'QUANTITY')
('56', 'MISC', 'QUANTITY')
('sq', 'MISC', 'QUANTITY')
('m', 'MISC', 'QUANTITY')
('63', 'MISC', 'QUANTITY')
('sq', 'MISC', 'QUANTITY')
('m', 'MISC', 'QUANTITY')
('219', 'MISC', 'QUANTITY')
('41', 'MISC', 'QUANTITY')
('sq', 'MISC', 'QUANTITY')
('m', 'MISC', 'QUANTITY')
('53', 'CODE', 'QUANTITY')
('773', 'CODE', 'QUANTITY')
('774', 'CODE', 'QUANTITY')
('775', 'CODE', 'QUANTITY')
('776', 'CODE', 'QUANTITY')
('Swedish', 'ORG', 'DEM')
('Government', 'ORG', 'MISC')
('Regeringsrätten', 'ORG', 'LOC')
('Stockholm', 'ORG', 'LOC')
('hovrätten', 'ORG', 'LOC')
('Swedish', 'ORG', 'DEM')
('Government', 'ORG', 'MISC')
('Regeringsrätten', 'ORG', 'LOC')
('Chancellor', 'ORG', 'DEM')
('of', 'ORG', 'DEM')
('Justice', 'ORG', 'DEM')
('hovrätten', 'ORG', 'LOC')
('Swedish', 'ORG', 'DEM')
('Swedish', 'ORG', 'DEM')
('Regeringsrätten', 'ORG', 'LOC')
('Chancellor', 'ORG', 'DEM')
('of', 'ORG', 'DEM')
('Justice', 'ORG', 'DEM')
('hovrätten', 'ORG', 'LOC')
('Swedish', 'DEM', 'ORG')
('Swedish', 'ORG', 'DEM')
('Government', 'ORG', 'MISC')
('Regeringsrätten', 'ORG', 'LOC')
('Chancellor', 'ORG', 'DEM')
('of', 'ORG', 'DEM')
('Justice', 'ORG', 'DEM')
('hovrätten', 'ORG', 'LOC')
('Swedish', 'DEM', 'ORG')
('Regeringsrätten', 'ORG', 'LOC')
('hovrätten', 'ORG', 'LOC')
('Regeringsrätten', 'ORG', 'LOC')
('Chancellor', 'ORG', 'DEM')
('of', 'ORG', 'DEM')
('Justice', 'ORG', 'DEM')
('hovrätten', 'ORG', 'LOC')
('Northern', 'ORG', 'LOC')
('Ireland', 'ORG', 'LOC')
('United', 'DEM', 'LOC')
('Kingdom', 'DEM', 'LOC')
('life', 'DATETIME', 'MISC')
('imprisonment', 'DATETIME', 'MISC')
('life', 'DATETIME', 'MISC')
('imprisonment', 'DATETIME', 'MISC')
('HM', 'ORG', 'LOC')
('Prison', 'ORG', 'LOC')
('Wymott', 'ORG', 'LOC')
('Northern', 'ORG', 'LOC')
('Ireland', 'ORG', 'LOC')
('United', 'DEM', 'LOC')
('Kingdom', 'DEM', 'LOC')
('HM', 'ORG', 'LOC')
('Prison', 'ORG', 'LOC')
('Wymott', 'ORG', 'LOC')
('Secretary', 'ORG', 'DEM')
('of', 'ORG', 'DEM')
('State', 'ORG', 'DEM')
('Secretary', 'ORG', 'DEM')
('of', 'ORG', 'DEM')
('State', 'ORG', 'DEM')
('Secretary', 'ORG', 'DEM')
('of', 'ORG', 'DEM')
('State', 'ORG', 'DEM')
('psychologist', 'MISC', 'DEM')
('responsibility', 'MISC', 'DEM')
('victim', 'MISC', 'DEM')
('Northern', 'ORG', 'LOC')
('Ireland', 'ORG', 'LOC')
('United', 'DEM', 'LOC')
('Kingdom', 'DEM', 'LOC')
('HM', 'ORG', 'LOC')
('Prison', 'ORG', 'LOC')
('Wymott', 'ORG', 'LOC')
('Northern', 'ORG', 'LOC')
('Ireland', 'ORG', 'LOC')
('United', 'DEM', 'LOC')
('Kingdom', 'DEM', 'LOC')
('HM', 'ORG', 'LOC')
('Prison', 'ORG', 'LOC')
('Wymott', 'ORG', 'LOC')
('Northern', 'ORG', 'LOC')
('Ireland', 'ORG', 'LOC')
('United', 'DEM', 'LOC')
('Kingdom', 'DEM', 'LOC')
('HM', 'ORG', 'LOC')
('Prison', 'ORG', 'LOC')
('Wymott', 'ORG', 'LOC')
('Northern', 'ORG', 'LOC')
('United', 'DEM', 'LOC')
('Kingdom', 'DEM', 'LOC')
('life', 'DATETIME', 'MISC')
('imprisonment', 'DATETIME', 'MISC')
('life', 'DATETIME', 'MISC')
('imprisonment', 'DATETIME', 'MISC')
('HM', 'ORG', 'LOC')
('Prison', 'ORG', 'LOC')
('Wymott', 'ORG', 'LOC')
('security', 'DEM', 'MISC')
('classification', 'DEM', 'MISC')
('risk', 'DEM', 'MISC')
('Secretary', 'ORG', 'DEM')
('of', 'ORG', 'DEM')
('State', 'ORG', 'DEM')
('Secretary', 'ORG', 'DEM')
('of', 'ORG', 'DEM')
('State', 'ORG', 'DEM')
('Secretary', 'ORG', 'DEM')
('of', 'ORG', 'DEM')
('State', 'ORG', 'DEM')
('Northern', 'ORG', 'LOC')
('Ireland', 'ORG', 'LOC')
('United', 'DEM', 'LOC')
('Kingdom', 'DEM', 'LOC')
('HM', 'ORG', 'LOC')
('Prison', 'ORG', 'LOC')
('Wymott', 'ORG', 'LOC')
('Northern', 'ORG', 'LOC')
('Ireland', 'ORG', 'LOC')
('United', 'DEM', 'LOC')
('Kingdom', 'DEM', 'LOC')
('HM', 'ORG', 'LOC')
('Prison', 'ORG', 'LOC')
('Wymott', 'ORG', 'LOC')
('Northern', 'ORG', 'LOC')
('Ireland', 'ORG', 'LOC')
('United', 'DEM', 'LOC')
('Kingdom', 'DEM', 'LOC')
('Fourth', 'ORG', 'QUANTITY')
('HM', 'ORG', 'LOC')
('Prison', 'ORG', 'LOC')
('Wymott', 'ORG', 'LOC')
('empathy', 'DEM', 'MISC')
('Swedish', 'ORG', 'DEM')
('Government', 'ORG', 'MISC')
('Government', 'ORG', 'MISC')
('speech', 'DEM', 'MISC')
('laryngectomy', 'DEM', 'MISC')
('age', 'DEM', 'DATETIME')
('of', 'DEM', 'DATETIME')
('65', 'DEM', 'DATETIME')
('age', 'DEM', 'DATETIME')
('of', 'DEM', 'DATETIME')
('65', 'DEM', 'DATETIME')
('Swedish', 'ORG', 'DEM')
('Government', 'ORG', 'MISC')
('Swedish', 'ORG', 'DEM')
('Government', 'ORG', 'MISC')
('age', 'DEM', 'DATETIME')
('of', 'DEM', 'DATETIME')
('65', 'DEM', 'DATETIME')
('age', 'DEM', 'DATETIME')
('of', 'DEM', 'DATETIME')
('65', 'DEM', 'DATETIME')
('Swedish', 'ORG', 'DEM')
('Swedish', 'ORG', 'DEM')
('1919', 'DEM', 'DATETIME')
('laryngectomy', 'DEM', 'MISC')
('age', 'DEM', 'DATETIME')
('of', 'DEM', 'DATETIME')
('65', 'DEM', 'DATETIME')
('age', 'DEM', 'DATETIME')
('of', 'DEM', 'DATETIME')
('65', 'DEM', 'DATETIME')
('Swedish', 'ORG', 'DEM')
('Government', 'ORG', 'MISC')
('disability', 'DEM', 'MISC')
('disability', 'DEM', 'MISC')
('disability', 'DEM', 'MISC')
('disability', 'DEM', 'MISC')
('disability', 'DEM', 'MISC')
('speech', 'DEM', 'MISC')
('laryngectomy', 'DEM', 'MISC')
('age', 'DEM', 'DATETIME')
('of', 'DEM', 'DATETIME')
('65', 'DEM', 'DATETIME')
('age', 'DEM', 'DATETIME')
('of', 'DEM', 'DATETIME')
('65', 'DEM', 'DATETIME')
('disability', 'DEM', 'MISC')
('disability', 'DEM', 'MISC')
('disability', 'DEM', 'MISC')
('disability', 'DEM', 'MISC')
('Swedish', 'ORG', 'DEM')
('Government', 'ORG', 'MISC')
('disability', 'DEM', 'MISC')
('disability', 'DEM', 'MISC')
('disability', 'DEM', 'MISC')
('disability', 'DEM', 'MISC')
('disability', 'DEM', 'MISC')
('speech', 'DEM', 'MISC')
('laryngectomy', 'DEM', 'MISC')
('County', 'ORG', 'LOC')
('of', 'ORG', 'LOC')
('Västmanland', 'ORG', 'LOC')
('County', 'ORG', 'LOC')
('of', 'ORG', 'LOC')
('Västmanland', 'ORG', 'LOC')
('age', 'DEM', 'DATETIME')
('of', 'DEM', 'DATETIME')
('65', 'DEM', 'DATETIME')
('age', 'DEM', 'DATETIME')
('of', 'DEM', 'DATETIME')
('65', 'DEM', 'DATETIME')
('disability', 'DEM', 'MISC')
('disability', 'DEM', 'MISC')
('disability', 'DEM', 'MISC')
('disability', 'DEM', 'MISC')
('Northern', 'ORG', 'LOC')
('Ireland', 'ORG', 'LOC')
('Government', 'ORG', 'MISC')
('United', 'ORG', 'LOC')
('Kingdom', 'ORG', 'LOC')
('United', 'ORG', 'LOC')
('Kingdom', 'ORG', 'LOC')
('United', 'ORG', 'LOC')
('Kingdom', 'ORG', 'LOC')
('9', 'DEM', 'DATETIME')
('year', 'DEM', 'DATETIME')
('old', 'DEM', 'DATETIME')
('Northern', 'ORG', 'LOC')
('Ireland', 'ORG', 'LOC')
('United', 'ORG', 'LOC')
('Kingdom', 'ORG', 'LOC')
('United', 'ORG', 'LOC')
('Kingdom', 'ORG', 'LOC')
('Maxwell', 'MISC', 'PERSON')
('United', 'MISC', 'LOC')
('Kingdom', 'MISC', 'LOC')
('31', 'MISC', 'CODE')
('1993', 'MISC', 'CODE')
('426', 'MISC', 'CODE')
('505', 'MISC', 'CODE')
('Northern', 'ORG', 'LOC')
('Ireland', 'ORG', 'LOC')
('United', 'ORG', 'LOC')
('Kingdom', 'ORG', 'LOC')
('United', 'ORG', 'LOC')
('Kingdom', 'ORG', 'LOC')
('United', 'ORG', 'LOC')
('Kingdom', 'ORG', 'LOC')
('nationality', 'DEM', 'MISC')
('Government', 'DEM', 'MISC')
('Commission', 'DEM', 'ORG')
('post', 'ORG', 'DEM')
('office', 'ORG', 'DEM')
('post', 'ORG', 'DEM')
('office', 'ORG', 'DEM')
('9', 'DEM', 'DATETIME')
('year', 'DEM', 'DATETIME')
('old', 'DEM', 'DATETIME')
('Northern', 'ORG', 'LOC')
('Ireland', 'ORG', 'LOC')
('United', 'ORG', 'LOC')
('Kingdom', 'ORG', 'LOC')
('United', 'ORG', 'LOC')
('Kingdom', 'ORG', 'LOC')
('Maxwell', 'MISC', 'PERSON')
('United', 'MISC', 'LOC')
('Kingdom', 'MISC', 'LOC')
('Human', 'ORG', 'LOC')
('Rights', 'ORG', 'LOC')
('Building', 'ORG', 'LOC')
('Strasbourg', 'ORG', 'LOC')
('9', 'DEM', 'DATETIME')
('year', 'DEM', 'DATETIME')
('Northern', 'ORG', 'LOC')
('Ireland', 'ORG', 'LOC')
('United', 'ORG', 'LOC')
('Kingdom', 'ORG', 'LOC')
('United', 'ORG', 'LOC')
('Kingdom', 'ORG', 'LOC')
('United', 'ORG', 'LOC')
('Kingdom', 'ORG', 'LOC')
('Lord', 'PERSON', 'DEM')
('Advocate', 'PERSON', 'DEM')
('1960', 'DEM', 'DATETIME')
('9', 'DEM', 'DATETIME')
('year', 'DEM', 'DATETIME')
('old', 'DEM', 'DATETIME')
('Northern', 'ORG', 'LOC')
('Ireland', 'ORG', 'LOC')
('United', 'ORG', 'LOC')
('Kingdom', 'ORG', 'LOC')
('United', 'ORG', 'LOC')
('Kingdom', 'ORG', 'LOC')
('Maxwell', 'MISC', 'PERSON')
('United', 'MISC', 'LOC')
('Kingdom', 'MISC', 'LOC')
('31', 'MISC', 'CODE')
('1993', 'MISC', 'CODE')
('426', 'MISC', 'CODE')
('505', 'MISC', 'CODE')
('three', 'MISC', 'QUANTITY')
('three', 'MISC', 'QUANTITY')
('9', 'DEM', 'DATETIME')
('year', 'DEM', 'DATETIME')
('old', 'DEM', 'DATETIME')
('Mardin', 'LOC', 'MISC')
('Government', 'ORG', 'MISC')
('Turkey', 'LOC', 'ORG')
('Tarım', 'ORG', 'PERSON')
('Reformu', 'ORG', 'PERSON')
('Genel', 'ORG', 'PERSON')
('Müdürlüğü', 'ORG', 'PERSON')
('Government', 'ORG', 'MISC')
('Mardin', 'LOC', 'MISC')
('south', 'LOC', 'MISC')
('Turkey', 'LOC', 'ORG')
('Tarım', 'ORG', 'PERSON')
('Reformu', 'ORG', 'PERSON')
('Genel', 'ORG', 'PERSON')
('Müdürlüğü', 'ORG', 'PERSON')
('Prime', 'ORG', 'DEM')
('Minister', 'ORG', 'DEM')
('Government', 'ORG', 'DEM')
('Minister', 'ORG', 'DEM')
('Norway', 'LOC', 'ORG')
('Norway', 'LOC', 'ORG')
('Norway', 'LOC', 'ORG')
('Norwegian', 'ORG', 'DEM')
('Government', 'ORG', 'MISC')
('Government', 'ORG', 'MISC')
('Ombudsman', 'ORG', 'DEM')
('Director', 'ORG', 'DEM')
('General', 'ORG', 'DEM')
('of', 'ORG', 'DEM')
('Public', 'ORG', 'DEM')
('Prosecutions', 'ORG', 'DEM')
('Switzerland', 'LOC', 'ORG')
('Norwegian', 'ORG', 'DEM')
('Government', 'ORG', 'MISC')
('Norway', 'LOC', 'ORG')
('Ombudsman', 'ORG', 'DEM')
('Director', 'ORG', 'DEM')
('General', 'ORG', 'DEM')
('of', 'ORG', 'DEM')
('Public', 'ORG', 'DEM')
('Prosecutions', 'ORG', 'DEM')
('Swedish', 'ORG', 'DEM')
('English', 'ORG', 'DEM')
('Spanish', 'ORG', 'DEM')
('police', 'ORG', 'DEM')
('Norway', 'LOC', 'ORG')
('Norway', 'LOC', 'ORG')
('Norway', 'LOC', 'ORG')
('Norwegian', 'ORG', 'DEM')
('Government', 'ORG', 'MISC')
('Civil', 'ORG', 'MISC')
('industry', 'MISC', 'DEM')
('Norwegian', 'ORG', 'DEM')
('Ombudsman', 'ORG', 'DEM')
('Director', 'ORG', 'DEM')
('General', 'ORG', 'DEM')
('of', 'ORG', 'DEM')
('Public', 'ORG', 'DEM')
('Prosecutions', 'ORG', 'DEM')
('major', 'MISC', 'DEM')
('bank', 'MISC', 'DEM')
('Switzerland', 'LOC', 'ORG')
('Swedish', 'LOC', 'DEM')
('English', 'LOC', 'DEM')
('Spanish', 'LOC', 'DEM')
('Norwegian', 'ORG', 'DEM')
('Norway', 'LOC', 'ORG')
('Norwegian', 'ORG', 'DEM')
('Government', 'ORG', 'MISC')
('Civil', 'ORG', 'MISC')
('Ombudsman', 'ORG', 'DEM')
('Director', 'ORG', 'DEM')
('General', 'ORG', 'DEM')
('of', 'ORG', 'DEM')
('Public', 'ORG', 'DEM')
('Prosecutions', 'ORG', 'DEM')
('Norway', 'LOC', 'ORG')
('Norway', 'LOC', 'ORG')
('Switzerland', 'LOC', 'ORG')
('Norwegian', 'ORG', 'DEM')
('Norway', 'LOC', 'ORG')
('Norway', 'LOC', 'ORG')
('Norway', 'LOC', 'ORG')
('Norwegian', 'ORG', 'DEM')
('Government', 'ORG', 'MISC')
('Director', 'ORG', 'DEM')
('General', 'ORG', 'DEM')
('of', 'ORG', 'DEM')
('Public', 'ORG', 'DEM')
('Prosecutions', 'ORG', 'DEM')
('Switzerland', 'LOC', 'ORG')
('Norway', 'LOC', 'ORG')
('Norway', 'LOC', 'ORG')
('Norway', 'LOC', 'ORG')
('Norwegian', 'ORG', 'DEM')
('Government', 'ORG', 'MISC')
('Civil', 'ORG', 'MISC')
('Ombudsman', 'ORG', 'DEM')
('Director', 'ORG', 'DEM')
('General', 'ORG', 'DEM')
('of', 'ORG', 'DEM')
('Public', 'ORG', 'DEM')
('Prosecutions', 'ORG', 'DEM')
('Switzerland', 'LOC', 'ORG')
('Izmir', 'LOC', 'MISC')
('Turkish', 'ORG', 'DEM')
('Government', 'ORG', 'MISC')
('Principal', 'ORG', 'DEM')
('Public', 'ORG', 'DEM')
('Prosecutor', 'ORG', 'DEM')
('Principal', 'ORG', 'DEM')
('Public', 'ORG', 'DEM')
('Prosecutor', 'ORG', 'DEM')
('Northern', 'ORG', 'LOC')
('Ireland', 'ORG', 'LOC')
('Nigeria', 'LOC', 'ORG')
('Nigeria', 'LOC', 'ORG')
('Nigeria', 'LOC', 'ORG')
('Nigeria', 'LOC', 'ORG')
('Nigeria', 'LOC', 'ORG')
('Nigeria', 'LOC', 'ORG')
('Nigeria', 'LOC', 'ORG')
('Nigeria', 'LOC', 'ORG')
('age', 'DEM', 'DATETIME')
('of', 'DEM', 'DATETIME')
('three', 'DEM', 'DATETIME')
('years', 'DEM', 'DATETIME')
('old', 'DEM', 'DATETIME')
('eight', 'DEM', 'DATETIME')
('years', 'DEM', 'DATETIME')
('old', 'DEM', 'DATETIME')
('eight', 'DEM', 'DATETIME')
('years', 'DEM', 'DATETIME')
('old', 'DEM', 'DATETIME')
('age', 'DEM', 'DATETIME')
('of', 'DEM', 'DATETIME')
('three', 'DEM', 'DATETIME')
('age', 'DEM', 'DATETIME')
('of', 'DEM', 'DATETIME')
('three', 'DEM', 'DATETIME')
('eighteen', 'DEM', 'DATETIME')
('age', 'DEM', 'DATETIME')
('of', 'DEM', 'DATETIME')
('twenty', 'DEM', 'DATETIME')
('age', 'DEM', 'DATETIME')
('of', 'DEM', 'DATETIME')
('five', 'DEM', 'DATETIME')
('attempted', 'DEM', 'MISC')
('attempted', 'DEM', 'MISC')
('suicide', 'DEM', 'MISC')
('depression', 'DEM', 'MISC')
('Northern', 'ORG', 'LOC')
('Ireland', 'ORG', 'LOC')
('Nigeria', 'ORG', 'LOC')
('age', 'DEM', 'DATETIME')
('of', 'DEM', 'DATETIME')
('three', 'DEM', 'DATETIME')
('years', 'DEM', 'DATETIME')
('old', 'DEM', 'DATETIME')
('eight', 'DEM', 'DATETIME')
('years', 'DEM', 'DATETIME')
('old', 'DEM', 'DATETIME')
('eight', 'DEM', 'DATETIME')
('years', 'DEM', 'DATETIME')
('old', 'DEM', 'DATETIME')
('aunt', 'MISC', 'DEM')
('aunt', 'MISC', 'DEM')
('aunt', 'MISC', 'DEM')
('aunt', 'MISC', 'DEM')
('aunt', 'MISC', 'DEM')
('aunt', 'MISC', 'DEM')
('aunt', 'MISC', 'DEM')
('aunt', 'MISC', 'DEM')
('foster', 'MISC', 'DEM')
('care', 'MISC', 'DEM')
('foster', 'MISC', 'DEM')
('care', 'MISC', 'DEM')
('boyfriend', 'MISC', 'DEM')
('half', 'MISC', 'DEM')
('brother', 'MISC', 'DEM')
('Üner', 'MISC', 'PERSON')
('Netherlands', 'MISC', 'ORG')
('46410', 'MISC', 'CODE')
('99', 'MISC', 'CODE')
('suicide', 'MISC', 'DEM')
('patient', 'MISC', 'DEM')
('patient', 'MISC', 'DEM')
('depression', 'DEM', 'MISC')
