Unnamed: 0,semantic_type,span_text,offsets,doc_id,probability,label,tokens,no_tokens,no_subtokens
29,PERSON,Eugene Chadbourne,"(0, 17)",eugene-chadbourne,"[-3.4155707483481694, -3.817224012692494, -6.272158414592216]",MASK,"['Eugene', 'Chad', '##bourne']",2,1
30,DATETIME,"January 4, 1954","(24, 39)",eugene-chadbourne,"[-3.8831684895920313, -3.6664620650027113, -2.969382600210479, -1.7853000065013331]",MASK,"['January', '4', ',', '1954']",4,0
31,DEM,American,"(47, 55)",eugene-chadbourne,[-0.8765241070810734],NO_MASK,['American'],1,0
32,DEM,jazz guitarist,"(56, 70)",eugene-chadbourne,"[-4.970462145693784, -3.5562285546938903]",NO_MASK,"['jazz', 'guitarist']",2,0
33,DEM,music critic,"(75, 87)",eugene-chadbourne,"[-3.6350135751041526, -3.338150330954453]",NO_MASK,"['music', 'critic']",2,0
34,PERSON,Kwee Tek Hoay,"(0, 13)",kwee-tek-hoay,"[-3.7547998412237034, -6.512521379017251, -4.110196015627172, -4.472682661054389, -5.217956499971488, -3.6881350085823272, -6.916189454234447]",MASK,"['K', '##we', '##e', 'Te', '##k', 'Ho', '##ay']",3,4
35,DEM,Chinese,"(15, 22)",kwee-tek-hoay,[-0.021446091298837126],NO_MASK,['Chinese'],1,0
36,PERSON,郭德懷,"(24, 27)",kwee-tek-hoay,"[-0.2013275377995387, -0.13116741676973562, -0.730341983038995]",MASK,"['[UNK]', '[UNK]', '[UNK]']",3,0
37,PERSON,Guō Déhuái,"(37, 47)",kwee-tek-hoay,"[-3.2835659060008453, -5.258439452231886, -5.540515630621632, -2.1688601018033675, -4.090749523899753, -4.70289719607803, -5.157176459880629, -4.5560939446805495]",MASK,"['G', '##u', '##ō', 'D', '##é', '##hu', '##á', '##i']",2,6
38,PERSON,Koeh Tek-hoâi,"(61, 74)",kwee-tek-hoay,"[-4.553349367836263, -7.2374242607827854, -2.909706893585731, -5.553137542893889, -2.5184453531405175, -3.6583942016781035, -5.380271200280907, -4.331964644463758]",MASK,"['Ko', '##eh', 'Te', '##k', '-', 'ho', '##â', '##i']",4,4
39,DATETIME,31 July 1886,"(76, 88)",kwee-tek-hoay,"[-4.484767298189152, -5.4980588419124015, -6.1280756992556995]",MASK,"['31', 'July', '1886']",3,0
40,DATETIME,4 July 1951,"(91, 102)",kwee-tek-hoay,"[-5.284615669429477, -7.833410196948537, -5.983057381907744]",MASK,"['4', 'July', '1951']",3,0
41,DEM,Chinese,"(110, 117)",kwee-tek-hoay,[-0.01911721431826488],NO_MASK,['Chinese'],1,0
42,DEM,Indonesian,"(118, 128)",kwee-tek-hoay,[-6.25875448102806],NO_MASK,['Indonesian'],1,0
43,DEM,Malay,"(129, 134)",kwee-tek-hoay,[-3.7529868130852444],NO_MASK,['Malay'],1,0
44,DEM,writer,"(144, 150)",kwee-tek-hoay,[-0.7980204810591327],NO_MASK,['writer'],1,0
45,DEM,journalist,"(178, 188)",kwee-tek-hoay,[-2.5278140235105298],NO_MASK,['journalist'],1,0
46,PERSON,Georgia May King,"(0, 16)",georgia-king,"[-3.8958521369833434, -3.3629527796656618, -3.474235645464653]",MASK,"['Georgia', 'May', 'King']",3,0
47,DATETIME,18 November 1986,"(23, 39)",georgia-king,"[-3.890174508154264, -4.32501104536864, -1.64223519754779]",MASK,"['18', 'November', '1986']",3,0
48,DEM,Scottish,"(46, 54)",georgia-king,[-3.8517839921872103],MASK,['Scottish'],1,0
49,DEM,actress,"(55, 62)",georgia-king,[-2.4073498313472053],NO_MASK,['actress'],1,0
50,PERSON,Elliot Evans,"(0, 12)",elliot-evans,"[-4.176259646778516, -3.719630391447821]",MASK,"['Elliot', 'Evans']",2,0
51,DATETIME,19 December 1995,"(19, 35)",elliot-evans,"[-3.8260268868271927, -3.983259572387097, -1.973116613572345]",MASK,"['19', 'December', '1995']",3,0
52,DEM,English,"(43, 50)",elliot-evans,[-1.0475987353448402],NO_MASK,['English'],1,0
53,DEM,teen pop singer,"(51, 66)",elliot-evans,"[-5.04992478470867, -4.987618661217244, -1.2608432715277988]",NO_MASK,"['teen', 'pop', 'singer']",3,0
54,MISC,semi-finals,"(83, 94)",elliot-evans,"[-4.179157080999192, -3.721010320947006, -1.0740370468342344]",NO_MASK,"['semi', '-', 'finals']",3,0
55,QUANTITY,third,"(102, 107)",elliot-evans,[-1.303454981653637],MASK,['third'],1,0
56,ORG,ITV,"(118, 121)",elliot-evans,[-3.3934724058375263],NO_MASK,['ITV'],1,0
57,ORG,Britain's Got Talent,"(135, 155)",elliot-evans,"[-4.805665269272323, -2.8425876006935433, -3.1496413537792374, -4.093547385137424, -4.789848797679857]",NO_MASK,"['Britain', ""'"", 's', 'Got', 'Talent']",5,0
58,DEM,parents,"(174, 181)",elliot-evans,[-2.7042727503922093],MASK,['parents'],1,0
59,PERSON,Estelle,"(182, 189)",elliot-evans,"[-4.5989184044640705, -6.7423671763832385, -7.1674330140745255]",MASK,"['E', '##ste', '##lle']",1,2
60,PERSON,Giles,"(194, 199)",elliot-evans,[-7.289787702966003],MASK,['Giles'],1,0
61,DEM,young sisters,"(204, 217)",elliot-evans,"[-5.45922958545786, -5.743083848180961]",MASK,"['young', 'sisters']",2,0
62,PERSON,Georgia,"(218, 225)",elliot-evans,[-7.087172331025395],MASK,['Georgia'],1,0
63,PERSON,Olivia,"(230, 236)",elliot-evans,[-6.2206620587168695],MASK,['Olivia'],1,0
64,MISC,family singing group,"(240, 260)",elliot-evans,"[-4.35804212040085, -1.9594558743399952, -2.007194333827952]",MASK,"['family', 'singing', 'group']",3,0
65,MISC,Good Evans,"(261, 271)",elliot-evans,"[-6.301042735327424, -5.1150220725718585]",MASK,"['Good', 'Evans']",2,0
66,MISC,debut single,"(289, 301)",elliot-evans,"[-2.2943167009810006, -0.32840258133808214]",NO_MASK,"['debut', 'single']",2,0
67,MISC,I'll Be There,"(304, 317)",elliot-evans,"[-2.5359160714012834, -2.928757120632209, -4.577893067955639, -3.257288932914728, -3.832973004374959]",MASK,"['I', ""'"", 'll', 'Be', 'There']",5,0
68,DATETIME,9 November 2009,"(323, 338)",elliot-evans,"[-4.0355800577173975, -3.323785170065308, -1.8157730811673698]",MASK,"['9', 'November', '2009']",3,0
69,MISC,Voice In a Million,"(354, 372)",elliot-evans,"[-2.4881974378884735, -3.4718136304471594, -2.6373365550756547, -3.583052991147237]",MASK,"['Voice', 'In', 'a', 'Million']",4,0
70,LOC,Coventry,"(397, 405)",elliot-evans,[-3.8549416791719024],MASK,['Coventry'],1,0
71,LOC,West Midlands,"(407, 420)",elliot-evans,"[-3.706017972118654, -4.106776888520872]",MASK,"['West', 'Midlands']",2,0
72,LOC,England,"(422, 429)",elliot-evans,[-2.5794550960924525],NO_MASK,['England'],1,0
73,PERSON,Anggisu Barbosa,"(0, 15)",anggisu-barbosa,"[-4.218555618630955, -6.442476602364469, -3.5396926144930205, -4.8845119896518705, -5.712316081784337, -3.429740717900382]",MASK,"['Ang', '##gis', '##u', 'Bar', '##bos', '##a']",2,4
74,DATETIME,16 March 1993,"(22, 35)",anggisu-barbosa,"[-4.139913208026368, -4.220570407006496, -1.1017765694202544]",MASK,"['16', 'March', '1993']",3,0
75,DEM,football player,"(42, 57)",anggisu-barbosa,"[-2.1174510842200163, -0.9700253265468431]",NO_MASK,"['football', 'player']",2,0
76,ORG,Timor-Leste national football team,"(98, 132)",anggisu-barbosa,"[-4.676237806111589, -2.9654933193556117, -4.966995668054702, -5.9427973655569, -3.2180610596404966, -3.3055182654962683, -1.487701682146942]",MASK,"['Timor', '-', 'Les', '##te', 'national', 'football', 'team']",6,1
77,ORG,Timor-Leste national football team,"(194, 228)",anggisu-barbosa,"[-4.807492158041257, -2.662063071981963, -6.485195289154841, -6.113301931441626, -5.148273233802775, -3.4018111083815676, -1.7625748265321073]",MASK,"['Timor', '-', 'Les', '##te', 'national', 'football', 'team']",6,1
78,DATETIME,age of 15 years 217 days,"(236, 260)",anggisu-barbosa,"[-1.8385681089769552, -2.5620981345102956, -3.390547243469485, -3.2201432459449486, -9.1796624988207, -4.166026332813582]",MASK,"['age', 'of', '15', 'years', '217', 'days']",6,0
79,PERSON,Adelino Trindade,"(305, 321)",anggisu-barbosa,"[-4.93512076517074, -5.1233002698672365, -4.74567983086157, -6.575303041931232, -6.5098314531267825, -5.417702438764196]",MASK,"['Ad', '##elin', '##o', 'Tri', '##nda', '##de']",2,4
80,DATETIME,age of 15 years 172 days,"(348, 372)",anggisu-barbosa,"[-4.215453085442288, -3.2439032949420525, -5.079087591637864, -3.33940476227578, -6.292675303253459, -4.207332167047084]",MASK,"['age', 'of', '15', 'years', '172', 'days']",6,0
81,PERSON,Aias Aosman,"(0, 11)",aias-aosman,"[-4.5716219084999015, -4.769192244418598, -3.6152479973571383, -5.35619580592608, -4.79494894302461]",MASK,"['Ai', '##as', 'A', '##os', '##man']",2,3
82,DEM,Arabic,"(13, 19)",aias-aosman,[-2.8264962973615866],NO_MASK,['Arabic'],1,0
83,PERSON,أياز عثمان,"(21, 31)",aias-aosman,"[-6.09642653962765, -6.710155332128711, -6.762531057032004, -6.9520233982801765, -6.558871551516277, -6.779194161512149, -6.5019957568379905, -5.308098983925248]",MASK,"['أ', '##ي', '##ا', '##ز', 'ع', '##ث', '##م', '##ان']",2,6
84,DATETIME,21 October 1994,"(39, 54)",aias-aosman,"[-3.5935976522879383, -5.0572843766553985, -1.624862979161663]",MASK,"['21', 'October', '1994']",3,0
85,DEM,Syrian,"(61, 67)",aias-aosman,[-5.316432089815045],NO_MASK,['Syrian'],1,0
86,DEM,footballer,"(68, 78)",aias-aosman,[-0.18995968721329537],NO_MASK,['footballer'],1,0
87,DEM,Romanian,"(93, 101)",aias-aosman,[-3.2807524442995],NO_MASK,['Romanian'],1,0
88,ORG,Hermannstadt,"(107, 119)",aias-aosman,"[-4.776985100115845, -6.4545832347189815]",MASK,"['Hermann', '##stadt']",1,1
89,ORG,SC Wiedenbrück 2000,"(146, 165)",aias-aosman,"[-3.249228939655364, -4.354960501504779, -6.086801270578423, -4.327308539845242, -5.42061205912242, -5.396024792223407, -6.978122229322221, -4.407027737839626]",MASK,"['SC', 'W', '##ied', '##en', '##b', '##r', '##ück', '2000']",3,5
90,ORG,1. FC Köln II,"(167, 180)",aias-aosman,"[-3.9212594269644425, -1.2763646442944185, -1.9831730262421976, -4.68593915440504, -6.94089964995732, -6.777569157101631, -4.6710725736454135]",MASK,"['1', '.', 'FC', 'K', '##ö', '##ln', 'II']",5,2
91,ORG,SSV Jahn Regensburg,"(186, 205)",aias-aosman,"[-4.713014332919388, -4.58242888478237, -4.7687061069187235, -6.959778786555841, -5.091231373718657, -4.754300889348199, -5.700957140180125]",MASK,"['SS', '##V', 'J', '##ahn', 'Reg', '##ens', '##burg']",3,4
92,PERSON,Kaoa,"(227, 231)",aias-aosman,"[-4.231066602590848, -5.929051350554505]",MASK,"['Ka', '##oa']",1,1
93,ORG,SC Wiedenbrück 2000,"(252, 271)",aias-aosman,"[-2.8876536898467946, -4.050082674945347, -6.271697741832882, -4.213464814450371, -5.1412105345287875, -4.684275966237948, -6.686750637188026, -4.227936983471591]",MASK,"['SC', 'W', '##ied', '##en', '##b', '##r', '##ück', '2000']",3,5
94,PERSON,Nicole Beharie,"(0, 14)",nicole-beharie,"[-2.503789854808102, -4.248862637433254, -5.5806213978440535, -3.542309762016888]",MASK,"['Nicole', 'Be', '##hari', '##e']",2,2
95,DATETIME,"January 3, 1985","(22, 37)",nicole-beharie,"[-3.681552030328938, -3.8061551096052266, -3.1249567994576104, -1.354375805378352]",MASK,"['January', '3', ',', '1985']",4,0
96,DEM,American,"(45, 53)",nicole-beharie,[-3.567497744962828],NO_MASK,['American'],1,0
97,DEM,actress,"(54, 61)",nicole-beharie,[-0.004372567078713387],NO_MASK,['actress'],1,0
98,MISC,American Violet,"(131, 146)",nicole-beharie,"[-3.640626086619116, -3.411560850062604]",MASK,"['American', 'Violet']",2,0
99,DATETIME,2008,"(148, 152)",nicole-beharie,[-1.8487700562492235],NO_MASK,['2008'],1,0
100,MISC,Shame,"(179, 184)",nicole-beharie,"[-2.94930006232069, -6.545326684006839]",MASK,"['S', '##hame']",1,1
101,DATETIME,2011,"(186, 190)",nicole-beharie,[-2.2167488022000024],NO_MASK,['2011'],1,0
102,MISC,42,"(223, 225)",nicole-beharie,[-4.148143447614433],MASK,['42'],1,0
103,DATETIME,2013,"(227, 231)",nicole-beharie,[-2.0871565221418376],MASK,['2013'],1,0
104,MISC,Monsters and Men,"(250, 266)",nicole-beharie,"[-4.20742696531672, -2.7893629767782273, -3.2747071717833443]",MASK,"['Monsters', 'and', 'Men']",3,0
105,DATETIME,2018,"(268, 272)",nicole-beharie,[-2.3387615693915618],MASK,['2018'],1,0
106,MISC,Miss Juneteenth,"(301, 316)",nicole-beharie,"[-3.4756606176499507, -3.877652292122645, -4.832760297601306, -5.068941292789813]",MASK,"['Miss', 'June', '##teen', '##th']",2,2
107,DATETIME,2020,"(318, 322)",nicole-beharie,[-4.29994690940237],MASK,['2020'],1,0
108,DATETIME,2013,"(330, 334)",nicole-beharie,[-1.0387190774475237],NO_MASK,['2013'],1,0
109,DATETIME,2016,"(338, 342)",nicole-beharie,[-1.0307518875747628],NO_MASK,['2016'],1,0
110,ORG,Fox,"(363, 366)",nicole-beharie,[-1.782209162935171],MASK,['Fox'],1,0
111,MISC,Sleepy Hollow,"(393, 406)",nicole-beharie,"[-3.324199499172903, -4.861847592443399, -3.3279236039641744]",MASK,"['Sleep', '##y', 'Hollow']",2,1
112,PERSON,Pavel Bobek,"(0, 11)",pavel-bobek,"[-5.048353004978501, -3.444094488292724, -5.995491044856118]",MASK,"['Pavel', 'Bob', '##ek']",2,1
113,DATETIME,16 September 1937,"(13, 30)",pavel-bobek,"[-3.7171837104215393, -5.091545029815406, -6.86778076110487]",MASK,"['16', 'September', '1937']",3,0
114,DATETIME,20 November 2013,"(33, 49)",pavel-bobek,"[-3.7206951813614144, -5.0786202617912215, -5.1940706949757605]",MASK,"['20', 'November', '2013']",3,0
115,DEM,Czech,"(57, 62)",pavel-bobek,[-3.7661817070946957],NO_MASK,['Czech'],1,0
116,DEM,singer,"(63, 69)",pavel-bobek,[-2.9131379909425426],NO_MASK,['singer'],1,0
117,PERSON,Winifred Geraldine Ramsey Beamish,"(0, 33)",geraldine-beamish,"[-4.183484981556663, -5.694359180514972, -6.761882330458899, -4.5801993581674525, -5.596916975981744, -5.25523275834792, -6.475639432146363, -7.136373254270997, -7.024791561435723]",MASK,"['Win', '##if', '##red', 'Gerald', '##ine', 'Ramsey', 'Be', '##ami', '##sh']",4,5
118,PERSON,née Ramsey,"(35, 45)",geraldine-beamish,"[-2.935359128808957, -4.944886526996148]",MASK,"['née', 'Ramsey']",2,0
119,DATETIME,23 June 1883,"(47, 59)",geraldine-beamish,"[-3.6464567898602382, -4.493761762167631, -4.42656166220909]",MASK,"['23', 'June', '1883']",3,0
120,DATETIME,10 May 1972,"(62, 73)",geraldine-beamish,"[-3.5949734247810845, -4.766207409632292, -3.2999484097748457]",MASK,"['10', 'May', '1972']",3,0
121,DEM,English,"(82, 89)",geraldine-beamish,[-1.9995584335884227],NO_MASK,['English'],1,0
122,DEM,tennis player,"(90, 103)",geraldine-beamish,"[-6.2774171012857405, -5.127349590296094]",MASK,"['tennis', 'player']",2,0
123,MISC,1920 Summer Olympics,"(124, 144)",geraldine-beamish,"[-2.0054254409758263, -6.073073916725646, -1.5309269891506516]",NO_MASK,"['1920', 'Summer', 'Olympics']",3,0
124,PERSON,Elmer Harold Burnham,"(0, 20)",elmer-burnham,"[-4.898988589159102, -4.911582591331736, -5.662821505646804, -5.304743005366529]",MASK,"['Elmer', 'Harold', 'Burn', '##ham']",3,1
125,DATETIME,"September 8, 1894","(22, 39)",elmer-burnham,"[-4.169798447864652, -3.8889227862134805, -1.3683014724565243, -5.704770614478369]",MASK,"['September', '8', ',', '1894']",4,0
126,DATETIME,"March 9, 1977","(42, 55)",elmer-burnham,"[-4.489113346239755, -4.118717683131551, -1.2343081652771564, -4.853721691230594]",MASK,"['March', '9', ',', '1977']",4,0
127,DEM,American,"(64, 72)",elmer-burnham,[-1.1805668807370062],MASK,['American'],1,0
128,DEM,football coach,"(73, 87)",elmer-burnham,"[-3.178895222161614, -3.5388077574658925]",NO_MASK,"['football', 'coach']",2,0
129,DEM,athlete,"(103, 110)",elmer-burnham,[-2.7919026560280424],NO_MASK,['athlete'],1,0
130,MISC,basketball skills,"(139, 156)",elmer-burnham,"[-3.2384784988086035, -3.0805209876199147]",NO_MASK,"['basketball', 'skills']",2,0
131,ORG,YMCA play,"(188, 197)",elmer-burnham,"[-5.951243917994291, -6.0111937187191025, -3.3295943054110677]",MASK,"['Y', '##MCA', 'play']",2,1
132,LOC,Indiana,"(201, 208)",elmer-burnham,[-4.65444029116198],MASK,['Indiana'],1,0
133,DEM,head football coach,"(222, 241)",elmer-burnham,"[-2.7301269712426373, -3.5701371547164675, -2.6905248213258024]",MASK,"['head', 'football', 'coach']",3,0
134,ORG,Purdue University,"(245, 262)",elmer-burnham,"[-4.993170954396666, -3.749665567169264]",MASK,"['Purdue', 'University']",2,0
135,DATETIME,1942,"(266, 270)",elmer-burnham,[-5.927950145225346],MASK,['1942'],1,0
136,DATETIME,1943,"(275, 279)",elmer-burnham,[-5.581406178729876],MASK,['1943'],1,0
137,PERSON,Burnham,"(282, 289)",elmer-burnham,"[-5.323425837355908, -5.274412450448474]",MASK,"['Burn', '##ham']",1,1
138,DATETIME,1943,"(292, 296)",elmer-burnham,[-5.578237201198822],MASK,['1943'],1,0
139,ORG,Purdue squad,"(297, 309)",elmer-burnham,"[-5.0418612392985045, -3.7580527635651753]",MASK,"['Purdue', 'squad']",2,0
140,QUANTITY,9–0,"(315, 318)",elmer-burnham,"[-4.285325001363563, -7.9119874843016005, -4.970074924095076]",MASK,"['9', '–', '0']",3,0
141,ORG,Big Ten Conference,"(334, 352)",elmer-burnham,"[-3.6593695455340587, -4.941156331790241, -4.004860791739172]",MASK,"['Big', 'Ten', 'Conference']",3,0
142,MISC,title,"(353, 358)",elmer-burnham,[-2.03661404742455],NO_MASK,['title'],1,0
143,LOC,Michigan,"(364, 372)",elmer-burnham,[-4.6467130183339025],MASK,['Michigan'],1,0
144,DATETIME,1944,"(380, 384)",elmer-burnham,[-4.577417051916397],MASK,['1944'],1,0
145,DATETIME,1960,"(388, 392)",elmer-burnham,[-4.234877454476264],MASK,['1960'],1,0
146,PERSON,Burnham,"(394, 401)",elmer-burnham,"[-6.170715266764238, -5.370405837161156]",MASK,"['Burn', '##ham']",1,1
147,DEM,head coach,"(416, 426)",elmer-burnham,"[-2.369335863136879, -2.270877294901728]",MASK,"['head', 'coach']",2,0
148,ORG,University of Rochester,"(434, 457)",elmer-burnham,"[-2.305773084655466, -1.3942838104123418, -4.414635819183103]",MASK,"['University', 'of', 'Rochester']",3,0
149,QUANTITY,82–48–6,"(489, 496)",elmer-burnham,"[-3.794312111092895, -7.134350257400697, -3.5329581490818986, -7.213648979064327, -2.67752910845664]",MASK,"['82', '–', '48', '–', '6']",5,0
150,QUANTITY,17,"(500, 502)",elmer-burnham,[-3.02434609514097],MASK,['17'],1,0
151,PERSON,Burnham,"(513, 520)",elmer-burnham,"[-4.958876274181054, -6.143903151503106]",MASK,"['Burn', '##ham']",1,1
152,ORG,Purdue,"(531, 537)",elmer-burnham,[-2.6828888879971897],MASK,['Purdue'],1,0
153,DEM,football coach,"(549, 563)",elmer-burnham,"[-2.490311710271959, -0.7692614001094444]",NO_MASK,"['football', 'coach']",2,0
154,DATETIME,seven years,"(568, 579)",elmer-burnham,"[-4.233667829091746, -0.7919074441344557]",MASK,"['seven', 'years']",2,0
155,DEM,varsity head coach,"(608, 626)",elmer-burnham,"[-2.9378589284139847, -2.310845761239953, -1.5732289069068703]",NO_MASK,"['varsity', 'head', 'coach']",3,0
156,DATETIME,1942,"(630, 634)",elmer-burnham,[-2.9666603932671554],MASK,['1942'],1,0
157,ORG,Purdue,"(654, 660)",elmer-burnham,[-3.07974042893404],MASK,['Purdue'],1,0
158,PERSON,Burnham,"(662, 669)",elmer-burnham,"[-5.313989133220822, -6.457395815145548]",MASK,"['Burn', '##ham']",1,1
159,DEM,coached,"(670, 677)",elmer-burnham,[-3.7486622109422605],NO_MASK,['coached'],1,0
160,MISC,football,"(678, 686)",elmer-burnham,[-3.096037502378293],NO_MASK,['football'],1,0
161,ORG,Central High School,"(690, 709)",elmer-burnham,"[-4.417323454258404, -4.379343051489116, -3.880616395180573]",NO_MASK,"['Central', 'High', 'School']",3,0
162,LOC,South Bend,"(713, 723)",elmer-burnham,"[-4.631382643221639, -5.926186380842186]",MASK,"['South', 'Bend']",2,0
163,LOC,Indiana,"(725, 732)",elmer-burnham,[-4.411460126019622],MASK,['Indiana'],1,0
164,QUANTITY,16,"(737, 739)",elmer-burnham,[-2.724359019144591],MASK,['16'],1,0
165,QUANTITY,118–30–8,"(768, 776)",elmer-burnham,"[-3.3053871022489436, -7.112550978966268, -2.7296373175496194, -7.185196608904083, -2.454055427053181]",MASK,"['118', '–', '30', '–', '8']",5,0
166,PERSON,Zhao Xin,"(0, 8)",zhao-xin,"[-2.6672902871138393, -3.3434956915420218, -3.9356894782902057]",MASK,"['Zhao', 'Xi', '##n']",2,1
167,DEM,Chinese,"(21, 28)",zhao-xin,[-1.0415234969475395],NO_MASK,['Chinese'],1,0
168,PERSON,赵信,"(30, 32)",zhao-xin,"[-0.39725462985245685, -0.5386740338419898]",MASK,"['[UNK]', '[UNK]']",2,0
169,DEM,Chinese,"(46, 53)",zhao-xin,[-0.4529419477837043],NO_MASK,['Chinese'],1,0
170,PERSON,趙信,"(55, 57)",zhao-xin,"[-1.4292898670011684, -1.3366221910772742]",MASK,"['[UNK]', '[UNK]']",2,0
171,DEM,pinyin,"(59, 65)",zhao-xin,[-1.4922128020526153],NO_MASK,['pinyin'],1,0
172,PERSON,Zhào Xìn,"(67, 75)",zhao-xin,"[-4.80220193008832, -5.062442277840331, -5.906415267247888, -4.753228486269638, -4.826665099614621, -6.030173860859977, -4.681766546753423]",MASK,"['Z', '##h', '##à', '##o', 'X', '##ì', '##n']",2,5
173,DEM,Wade–Giles,"(77, 87)",zhao-xin,"[-7.129496320839766, -8.180949108846912, -6.135759889792933]",NO_MASK,"['Wade', '–', 'Giles']",3,0
174,PERSON,Chao Hsin,"(89, 98)",zhao-xin,"[-6.014564894690281, -4.554054717447833, -7.617869553796339]",MASK,"['Chao', 'H', '##sin']",2,1
175,DEM,marquis,"(118, 125)",zhao-xin,"[-4.327819240249961, -4.377594060710607, -6.202198090831593]",MASK,"['ma', '##r', '##quis']",1,2
176,DEM,Xiongnu,"(129, 136)",zhao-xin,"[-3.9989357948538653, -5.638421940929576, -6.257222412786753]",MASK,"['Xi', '##ong', '##nu']",1,2
177,ORG,Han Dynasty of China,"(181, 201)",zhao-xin,"[-3.188224687760752, -3.4856179256314377, -4.196811233554242, -2.845084808643554]",MASK,"['Han', 'Dynasty', 'of', 'China']",4,0
178,PERSON,Alfred Edward Taylor,"(0, 20)",alfred-edward-taylor,"[-2.7314329409088995, -2.2146113968372174, -3.8034222757459553]",MASK,"['Alfred', 'Edward', 'Taylor']",3,0
179,DATETIME,22 December 1869,"(22, 38)",alfred-edward-taylor,"[-3.8543839337996335, -3.92911653291002, -4.5990070688833296]",MASK,"['22', 'December', '1869']",3,0
